name;latitude;longitude;type
1450;Dordrecht;51.81;4.690093;place
1452;Dordrecht;51.81;4.690093;place
1458;Dordrecht;51.81;4.690093;place
1467;Rotterdam;51.9179;4.4779;place
1468;Rotterdam;51.9179;4.4779;place
1469;Amsterdam;52.366665;4.90994;place
1471;Amsterdam;52.366665;4.90994;place
1480;Gouda;52.017365;4.708115;place
1481;Gorinchem;51.836872;4.974998;place
1482;Dordrecht;51.81;4.690093;place
1483;Amsterdam;52.366665;4.90994;place
1484;Dordrecht;51.81;4.690093;place
1489;Gorinchem;51.836872;4.974998;place
1493;Amsterdam;52.366665;4.90994;place
1494;Gouda;52.017365;4.708115;place
1502;Gorinchem;51.836872;4.974998;place
1508;Leiden;52.157776;4.49278;place
1509;Leiden;52.157776;4.49278;place
1513;Gouda;52.017365;4.708115;place
1515;Leiden;52.157776;4.49278;place
1516;Haarlem;52.38079;4.6422777;place
1517;Leiden;52.157776;4.49278;place
1518;Leiden;52.157776;4.49278;place
1519;Leiden;52.157776;4.49278;place
1521;Gouda;52.017365;4.708115;place
1522;Amsterdam;52.366665;4.90994;place
1523;Gorinchem;51.836872;4.974998;place
1524;Leiden;52.157776;4.49278;place
1525;Leiden;52.157776;4.49278;place
1526;Leiden;52.157776;4.49278;place
1527;Gouda;52.017365;4.708115;place
1528;Hoorn;52.64184;5.058755;place
1530;Dordrecht;51.81;4.690093;place
1531;Haarlem;52.38079;4.6422777;place
1534;Amsterdam;52.366665;4.90994;place
1537;Schiedam;51.918613;4.393056;place
1538;Leiden;52.157776;4.49278;place
1550;Amsterdam;52.366665;4.90994;place
1554;Amsterdam;52.366665;4.90994;place
1555;Gorinchem;51.836872;4.974998;place
1556;Leiden;52.157776;4.49278;place
1557;Amsterdam;52.366665;4.90994;place
1558;Amsterdam;52.366665;4.90994;place
1559;Amsterdam;52.366665;4.90994;place
1562;Hoorn;52.64184;5.058755;place
1564;Dordrecht;51.81;4.690093;place
1566;Kennemerland;52.466667;4.75;region
1567;Leiden;52.157776;4.49278;place
1568;Leiden;52.157776;4.49278;place
1571;Schiedam;51.918613;4.393056;place
1572;Leiden;52.157776;4.49278;place
1573;Amsterdam;52.366665;4.90994;place
1574;Amsterdam;52.366665;4.90994;place
1575;Dordrecht;51.81;4.690093;place
1577;Hoorn;52.64184;5.058755;place
1579;Dordrecht;51.81;4.690093;place
1580;Hoorn;52.64184;5.058755;place
1581;Haarlem;52.38079;4.6422777;place
1583;Gorinchem;51.836872;4.974998;place
1584;Dordrecht;51.81;4.690093;place
1586;Hoorn;52.64184;5.058755;place
1587;Dordrecht;51.81;4.690093;place
1588;Gouda;52.017365;4.708115;place
1590;Hoorn;52.64184;5.058755;place
1593;Rotterdam;51.9179;4.4779;place
1594;Rotterdam;51.9179;4.4779;place
1595;Rotterdam;51.9179;4.4779;place
1596;Rotterdam;51.9179;4.4779;place
1598;Rotterdam;51.9179;4.4779;place
1599;Amsterdam;52.366665;4.90994;place
1600;Dordrecht;51.81;4.690093;place
1601;Amsterdam;52.366665;4.90994;place
1602;Amsterdam;52.366665;4.90994;place
1603;Amsterdam;52.366665;4.90994;place
1604;Leiden;52.157776;4.49278;place
1605;Leiden;52.157776;4.49278;place
1606;Gorinchem;51.836872;4.974998;place
1616;Amsterdam;52.366665;4.90994;place
1617;Amsterdam;52.366665;4.90994;place
1618;Amsterdam;52.366665;4.90994;place
1623;Amsterdam;52.366665;4.90994;place
1624;Amsterdam;52.366665;4.90994;place
1625;Amsterdam;52.366665;4.90994;place
1626;Amsterdam;52.366665;4.90994;place
1627;Delft;52.008892;4.357284;place
1629;Amsterdam;52.366665;4.90994;place
1633;Schiedam;51.918613;4.393056;place
1634;Leiden;52.157776;4.49278;place
1635;Amsterdam;52.366665;4.90994;place
1636;Amsterdam;52.366665;4.90994;place
1637;Rotterdam;51.9179;4.4779;place
1650;Alkmaar;52.631836;4.749805;place
1652;Amsterdam;52.366665;4.90994;place
1653;Amsterdam;52.366665;4.90994;place
1654;Amsterdam;52.366665;4.90994;place
1655;Amsterdam;52.366665;4.90994;place
1656;Amsterdam;52.366665;4.90994;place
1657;Amsterdam;52.366665;4.90994;place
1660;Rotterdam;51.9179;4.4779;place
1661;Den Haag;52.073586;4.299655;place
1662;Delft;52.008892;4.357284;place
1663;Amsterdam;52.366665;4.90994;place
1664;Amsterdam;52.366665;4.90994;place
1665;Amsterdam;52.366665;4.90994;place
1666;Amsterdam;52.366665;4.90994;place
1667;Gorinchem;51.836872;4.974998;place
1668;Gouda;52.017365;4.708115;place
